source_name,organization,category,keywords,reference_urls,source_type,access,priority,notes
Agentic Mobile,IAB Tech Lab,Agentic advertising / mobile,agentic mobile; iab tech lab; agentic advertising / mobile; agentic advertising; mobile/in-app agent workflows; monetization; mcp/a2a interoperability; iab; openrtb; programmatic standards; adtech standards; ai agents; agent workflows; agent tools; mcp; model context protocol; agent tool server,https://github.com/IABTechLab/agentic-mobile,MCP; GitHub; Markdown,Public,P0,Mobile privacy/platform constraints evolve quickly; preserve dated platform assumptions.
IAB Tech Lab Agent Registry,IAB Tech Lab,Agentic advertising / discovery,iab tech lab agent registry; iab tech lab; agentic advertising / discovery; agent discovery / trust; agent discovery; organization identity; capabilities; trust/transparency; iab; openrtb; programmatic standards; adtech standards; agentic advertising; ai agents; agent workflows; agent tools; mcp; model context protocol; agent tool server; adcp; ad context protocol; agentic advertising protocol; identity; addressability; user id; eids,https://registry.iabtechlab.com/,MCP; API,Free registration; anonymous fetch may be restricted,P0,"Registry presence is a discovery/trust signal, not proof of commercial authorization or operational reliability."
Deals API v1,IAB Tech Lab,Programmatic deals / standard,deals api v1; iab tech lab; programmatic deals / standard; programmatic standards; ssp-to-dsp deal synchronization; deal terms; curation transparency; status; iab; openrtb; adtech standards; agentic advertising; ai agents; agent workflows; agent tools; mcp; model context protocol; agent tool server,https://iabtechlab.com/standards/dealsapi/; https://github.com/IABTechLab/deal-api,MCP; GitHub; API; Markdown,Public,P0,"Deals API is separate from the OpenRTB bid request/response and v1 is primarily synchronization, not negotiation."
OpenDirect 2.1,IAB Tech Lab,Automated guaranteed / direct standard,opendirect 2.1; iab tech lab; automated guaranteed / direct standard; programmatic standards; product discovery; price/availability; orders; lines; creatives; guaranteed booking; programmatic guaranteed; iab; openrtb; adtech standards; agentic advertising; ai agents; agent workflows; agent tools; adcp; ad context protocol; agentic advertising protocol; opendirect,https://iabtechlab.com/standards/opendirect/,MCP; API; Markdown,Public,P0,Direct/guaranteed semantics differ from RTB; Agentic Direct adds discovery/MCP rather than replacing OpenDirect.
IAB Tech Lab Taxonomies,IAB Tech Lab,Taxonomies / controlled vocabularies,iab tech lab taxonomies; iab tech lab; taxonomies / controlled vocabularies; programmatic standards; content taxonomy; audience taxonomy; ad product taxonomy and versioned controlled vocabularies; iab; openrtb; adtech standards; audience,https://github.com/InteractiveAdvertisingBureau/Taxonomies,GitHub; Markdown,Public,P0,Do not synonym-expand taxonomy IDs without preserving canonical code/version.
ads.txt / app-ads.txt specification,IAB Tech Lab,Supply-chain transparency,ads.txt / app-ads.txt specification; iab tech lab; supply-chain transparency; programmatic standards; authorized digital sellers; app-ads.txt; counterfeit inventory prevention; publisher seller authorization; iab; openrtb; adtech standards; supply path; supply chain; spo; ads.txt; sellers.json; schain,https://github.com/InteractiveAdvertisingBureau/Supply-Chain-Validation/blob/main/ads.txt%20v1.1.md; https://github.com/InteractiveAdvertisingBureau/Supply-Chain-Validation,GitHub; Markdown,Public,P0,ads.txt authorization does not prove traffic quality; validate sellers.json/schain and IVT independently.
sellers.json specification,IAB Tech Lab,Supply-chain transparency,sellers.json specification; iab tech lab; supply-chain transparency; programmatic standards; seller identity; intermediary/direct status; seller account transparency; supply-chain validation; iab; openrtb; adtech standards; identity; addressability; user id; eids; supply path; supply chain; spo; ads.txt; sellers.json; schain,https://github.com/InteractiveAdvertisingBureau/Supply-Chain-Validation/blob/main/sellers-json.md; https://github.com/InteractiveAdvertisingBureau/Supply-Chain-Validation,GitHub; Markdown,Public,P0,Confidential sellers and inconsistent account naming can limit graph resolution; never equate seller_id with domain identity without checks.
OpenRTB Native Ads Specification 1.2,IAB Tech Lab,Native advertising standard,openrtb native ads specification 1.2; iab tech lab; native advertising standard; programmatic standards; native bid request/response assets; event trackers; native formats; iab; openrtb; adtech standards; rtb; bid request; bid response,https://github.com/InteractiveAdvertisingBureau/Native-Ads/blob/main/OpenRTB-Native-Ads-Specification-Final-1.2.md; https://github.com/InteractiveAdvertisingBureau/Native-Ads,GitHub; Markdown,Public,P1,Some exchanges use direct JSON objects while older OpenRTB conventions encode native payloads as strings; follow partner implementation docs.
PubMatic MCP Server,PubMatic,SSP / agentic programmatic,pubmatic mcp server; pubmatic; ssp / agentic programmatic; agentic advertising; programmatic deal management; inventory discovery; ssp agent workflows; ssp; openwrap; pubmatic mcp; deal management; ai agents; agent workflows; agent tools; mcp; model context protocol; agent tool server,https://github.com/PubMatic/pubmatic-mcp-server; https://mcp.pubmatic.com/v1,MCP; GitHub; Markdown,Public docs; operational auth/entitlements apply,P0,Keep MCP action permissions separate from RAG read permissions; deal writes should be budget/account scoped.
PubMatic OpenWrap,PubMatic,Header bidding / SSP,pubmatic openwrap; pubmatic; header bidding / ssp; header bidding; header bidding wrapper; prebid ecosystem integration; publisher monetization; ssp; openwrap; pubmatic mcp; deal management; prebid; auction,https://github.com/PubMatic/OpenWrap,GitHub; Markdown,Public source; managed platform features gated,P1,Do not assume OpenWrap configuration mirrors vanilla Prebid; note platform-specific defaults and server-side services.
FreeWheel MCP / AI Agent Infrastructure,FreeWheel,CTV / agentic advertising,freewheel mcp / ai agent infrastructure; freewheel; ctv / agentic advertising; video / ctv; ctv negotiation; optimization; execution; premium video buyer/seller automation; freewheel mcp; streaming hub; premium video; ctv; video ad server; ssai; buyer cloud; agentic advertising; ai agents; agent workflows; agent tools; mcp; model context protocol; agent tool server; connected tv; streaming; video advertising,https://www.freewheel.com/news/freewheel-launches-ai-agent-infrastructure-to-transform-how-premium-video-advertising-is-bought-and-sold-pilots-with-pmg,MCP; API,Partner/beta; no public anonymous MCP endpoint confirmed,P0,Treat claims of MCP availability separately from endpoint availability; request partner docs/tool schemas directly.
FreeWheel Partner Portal / Streaming Hub APIs,FreeWheel,CTV / ad serving / APIs,freewheel partner portal / streaming hub apis; freewheel; ctv / ad serving / apis; video / ctv; streaming hub integrations; campaign operations; yield optimization; data/identity; publisher connections; freewheel mcp; streaming hub; premium video; ctv; video ad server; ssai; buyer cloud; agentic advertising; ai agents; agent workflows; agent tools; identity; addressability; user id; eids; connected tv; streaming; video advertising,https://partners.freewheel.com/partner-portal/,MCP; API,Approved partner login,P0,API availability varies by partner/customer permissions; never assume a documented FreeWheel capability is enabled on an account.
Publica by IAS CTV Monetization,Publica / Integral Ad Science,CTV / SSAI / publisher monetization,publica by ias ctv monetization; publica / integral ad science; ctv / ssai / publisher monetization; video / ctv; ctv ad server; ssai; ad pod automation; unified auctions; header bidding; audience management; log-level reporting; publica; publica by ias; ias; ad pod; unified auction; connected tv; mcp; model context protocol; agent tool server; ctv; streaming; video advertising; audience,https://www.getpublica.com/,MCP; API,Public product knowledge; deeper technical docs appear partner/customer oriented,P1,Do not infer IAS platform APIs are automatically Publica APIs; acquisition does not imply a unified public developer surface.
ID5 Knowledge Base,ID5,Identity / addressability,id5 knowledge base; id5; identity / addressability; id5 id; eids; openrtb 2.5/2.6; ssp/dsp/publisher integrations; ctv; mobile; bid enrichment; privacy; universal id; user id; identity; openrtb eids; prebid userid; agentic advertising; ai agents; agent workflows; agent tools; mcp; model context protocol; agent tool server; openrtb; rtb; bid request; bid response; consent; cmp; tcf; gpp; addressability,https://wiki.id5.io/,MCP; API; Markdown,Mostly public; some decryption/commercial material gated,P0,OpenRTB EID location differs between 2.5 and 2.6; respect consent and ID provenance fields.
ID5 JavaScript API,ID5,Identity / client library,id5 javascript api; id5; identity / client library; identity / addressability; publisher-side id retrieval; eid generation; consent-aware identity; integration with prebid/ad partners; id5 id; universal id; user id; identity; openrtb eids; eids; prebid userid; prebid; header bidding; auction; addressability,https://github.com/id5io/id5-api.js,GitHub; API; Markdown,Public source; terms/commercial licensing constraints apply,P0,Commercial/platform use may require separate agreement; do not conflate free publisher distribution with unrestricted commercial use.
Acxiom Data Services API,Acxiom,Identity / data services,acxiom data services api; acxiom; identity / data services; identity / addressability; entity resolution; person/place/household/entity match; lookup; abilitec links; hashed entity representations; third-party data retrieval; abilitec; identity resolution; data services api; audience data; third-party data; mcp; model context protocol; agent tool server; identity; addressability; user id; eids; audience,https://developer.myacxiom.com/dsapi; https://api.acxiom.com/,MCP; API,Public docs; OAuth/contractual data entitlements required,P1,Data access is license/role scoped; avoid assuming all documented bundles/attributes are available to a given tenant.
Adelaide AU / Programmatic Activation,Adelaide,Attention measurement / activation,adelaide au / programmatic activation; adelaide; attention measurement / activation; measurement / attribution; au attention metric; pre-bid activation; pmps; custom bidding; dsp/ssp integrations; media quality optimization; au; attention unit; attention metric; attention measurement; prebid attention; media quality; mcp; model context protocol; agent tool server; measurement; attribution; dsp; ssp,https://www.adelaidemetrics.com/attention-resources/attention-metrics-made-easy-programmatic-activation,MCP; API,Public first-party methodology/integration content,P1,AU is a proprietary predictive metric; separate vendor methodology claims from independent validation and platform-specific activation mechanics.
InfoSum Developer API v2,InfoSum,Data clean room / collaboration,infosum developer api v2; infosum; data clean room / collaboration; data clean rooms; data collaboration; clean-room workflows; audience activation; privacy-safe analytics; mcp; model context protocol; agent tool server; privacy; consent; cmp; tcf; gpp; data clean room; audience,https://infosum.github.io/infosum-docs/api/v2/,MCP; OpenAPI; Markdown,Public API docs; execution authenticated,P1,Clean-room authorization and dataset permissions are contextual; docs cannot substitute for workspace governance.
Google Authorized Buyers RTB / OpenRTB Guide,Google,Exchange / RTB implementation,google authorized buyers rtb / openrtb guide; google; exchange / rtb implementation; programmatic standards; google authorized buyers bid requests/responses; openrtb support; extensions; rtb integration; gam; google ad manager; dv360; display & video 360; authorized buyers; google open bidding; openrtb; rtb; bid request; bid response,https://developers.google.com/authorized-buyers/rtb/openrtb-guide,Markdown,Public docs; buyer participation/account access gated,P0,Always distinguish IAB normative fields from Google-specific support and extensions.
The Trade Desk Platform API / OpenTTD,The Trade Desk,DSP / API,the trade desk platform api / openttd; the trade desk; dsp / api; buy side / dsp; campaigns; advertisers; targeting; reporting; custom algorithms/workflows; programmatic buying; ttd; open ttd; openttd; dsp; kokai; mcp; model context protocol; agent tool server,https://partner.thetradedesk.com/v3/portal/api/overview,MCP; API,Partner/developer portal; authenticated account access,P0,Do not assume every API capability is enabled for every advertiser/seat; custom bidding and data use carry separate policies.
Microsoft Xandr Digital Platform API,Microsoft Advertising / Xandr,DSP/SSP/ad platform API,microsoft xandr digital platform api; microsoft advertising / xandr; dsp/ssp/ad platform api; programmatic platform; buying; selling; bidder; ad serving; deals; inventory; targeting; reporting; xandr; appnexus; microsoft advertising; digital platform api; mcp; model context protocol; agent tool server; dsp; ssp,https://learn.microsoft.com/en-us/xandr/digital-platform-api/,MCP; API,Public docs; execution requires platform credentials,P0,Watch for legacy AppNexus/Xandr terminology and deprecated services; keep aliases in entity metadata.
Magnite Developer Documentation,Magnite,SSP / streaming / ad platform,magnite developer documentation; magnite; ssp / streaming / ad platform; sell side / publisher; magnite streaming; springserve; dv+; deals; openrtb; publisher monetization; reporting; rubicon; ssp; ctv; mcp; model context protocol; agent tool server; rtb; bid request; bid response,https://help.magnite.com/help/developer-documentation-all-platforms,MCP; API,Majority login required,P1,"Do not merge SpringServe, Streaming and DV+ semantics without platform tags."
OpenXBuild APIs,OpenX,SSP / exchange / agentic infrastructure,openxbuild apis; openx; ssp / exchange / agentic infrastructure; sell side / publisher; bidstream enrichment; identity resolution; auction insights; secure containers close to exchange auction path; openxbuild; ssp; exchange; bidstream api; agentic advertising; ai agents; agent workflows; agent tools; mcp; model context protocol; agent tool server; identity; addressability; user id; eids,https://www.openx.com/openxbuild/,MCP; API,Public overview; product/API access commercial,P1,Container execution near supply is powerful but is not necessarily an MCP/agent protocol; model it as an execution substrate.
Equativ Monetization APIs,Equativ,SSP / ad server / APIs,equativ monetization apis; equativ; ssp / ad server / apis; sell side / publisher; inventory; reporting; ad requests; openrtb integration; deals; campaign activation; ssai; smart adserver; ssp; ad server; openrtb; mcp; model context protocol; agent tool server; rtb; bid request; bid response,https://help.equativ.com/automate-monetization/get-started-with-equativ-apis,MCP; API,Public docs; OAuth/client credentials required for execution,P1,"Do not mix Monetization, Maestro, Serverside.ai and legacy Manage API contracts."
Index Exchange Knowledge Base / OpenRTB APIs,Index Exchange,Exchange / OpenRTB / publisher,index exchange knowledge base / openrtb apis; index exchange; exchange / openrtb / publisher; sell side / publisher; openrtb 2.6 implementation; publisher s2s; dsp integrations; deals; reporting; omid; index cloud; ix; openrtb; ssp; mcp; model context protocol; agent tool server; rtb; bid request; bid response; dsp,https://kb.indexexchange.com/,MCP; API,Public technical knowledge base; account auth for execution,P1,Index's OpenRTB implementation profile differs from the base IAB spec; retrieve both for comparison.
IAS Agent / Media Quality Knowledge,Integral Ad Science,Measurement / verification / agentic AI,ias agent / media quality knowledge; integral ad science; measurement / verification / agentic ai; measurement / attribution; media quality; ivt; viewability; brand safety; contextual targeting; optimization; ai recommendations; ias; verification; contextual; agentic advertising; ai agents; agent workflows; agent tools; mcp; model context protocol; agent tool server; measurement; attribution,https://integralads.com/uk/insider/introducing-ias-agent-your-ai-powered-assistant-uncovering-deeper-insights-and-driving-performance/,MCP; API,Public product knowledge; platform/help/API details may require customer access,P1,"Treat vendor media-quality methodology as authoritative for IAS implementation, not as an industry-neutral definition."
DoubleVerify Developer Documentation Portal,DoubleVerify,Measurement / verification,doubleverify developer documentation portal; doubleverify; measurement / verification; measurement / attribution; ad verification; fraud; brand safety/suitability; measurement integrations; dv; verification; brand safety; ivt; viewability; attention; mcp; model context protocol; agent tool server; measurement; attribution; media quality; ad fraud; invalid traffic,https://developer-stg.doubleverify.com/,MCP; API,Login/request access,P1,Do not scrape or reconstruct gated endpoint semantics from search snippets; obtain authorized access.
Lotame Technical Documentation / Services API,Lotame,Audience data / identity / activation,lotame technical documentation / services api; lotame; audience data / identity / activation; audience / data activation; first-party data; audience segments; activation; panorama id; data transfer; tagging; analytics; mcp; model context protocol; agent tool server; identity; addressability; user id; eids; audience,https://my.lotame.com/category/technical-documentation; https://api.lotame.com/docs/,MCP; API,Public knowledge base; API auth required,P1,The API explorer may act on production data; never let an autonomous agent use write/delete calls without explicit guardrails.
LiveRamp Clean Room API,LiveRamp,Data clean room / API,liveramp clean room api; liveramp; data clean room / api; data clean rooms; create/manage clean rooms; data connections; partners/users; questions; flows; segmentation; destinations; exports; rampid; ats; authenticated traffic solution; identity envelope; audience activation; data marketplace; mcp; model context protocol; agent tool server; privacy; consent; cmp; tcf; gpp; data clean room; data collaboration; privacy-safe analytics,https://developers.liveramp.com/clean-room-api/; https://developers.liveramp.com/clean-room-api/llms.txt,llms.txt; MCP; OpenAPI; Markdown,Public docs; service account/OAuth and contract required,P1,Respect token/rate limits and clean-room permissions; do not equate API capability with permission to export user-level data.
